OBJECTID,HUC_10,HUC_8,HUC_6,HUC_4,HUC_2,WSC_CODE,NAME,BASIN,,Natural Region,Cluster,Data_Source,Area_km2,RoadsDensity_m_km2,RailsDensity_m_km2,Trans_Density_m_km2,ServCorridor_Density_m_km2,Indust_density_m2_km2,Resid_density_m2_km2,Imperv_density_m2_km2,Agri_density_m2_km2, Fertil_Density_ha_km2 ,Cattle_Density_n_km2,Energy_Mining_density_m2_km2,Wells_density_m2_km2,Waste__density_m2_km2,SW_use_m3_km2,GW_use_m3_km2,Canal_density_m2_km2,Res_density_m2_km2,Dam_density_n_km2,StreamRoadCrossing_density_n_km2,Pop_Density_n_km2,Harvest_density_m2_km2,Wildfire_density_m2_km2,Riparian_density_km2_km2,RoadsRipDensity_m_km2,ResidRip_density_m2_km2,AgriRip_density_m2_km2,Shape_Length,Shape_Area
78,1103010204,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,,Dry Mixedwood,1,Internal,295,1806,52,1858,1063,284,91745,118827,247749,"9,995,741",8,362,489,1270,0,390,0,166,0.003,0.3,16,0,0,0.062,1121,42728,240320,88109,294668275
79,1103010201,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,265,1187,58,1245,785,0,12186,26047,828389,"96,116,251",14,1783,1754,0,0,197,0,2112,0.072,0.5,5,0,0,0.411,1054,9508,796933,99469,264798049
80,1103010202,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,219,1238,0,1238,699,87,17872,32388,854651,"130,524,013",14,1510,723,128,0,404,256,0,0.046,0.6,7,0,0,0.388,1160,14557,870809,90210,218889327
81,1103010205,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,,Central Parkland,3,Internal,255,1252,36,1287,712,2109,16831,34303,800101,"83,287,754",15,1331,888,8499,0,136,415,396,0.055,0.3,4,0,0,0.316,1312,12898,745610,121445,254829524
82,1103010210,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,304,1686,186,1872,2484,10512,23452,64839,574355,"37,483,619",12,15987,19562,947,0,829,0,0,0.003,0.5,11,0,92871,0.204,1589,25807,729126,108285,303713588
83,1103010208,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,299,1108,3,1112,841,1538,18304,33593,508347,"19,591,320",10,686,345,0,0,238,0,77,0.01,0.4,3,59880,0,0.325,1076,17632,663689,122164,298905793
84,1103010207,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,309,1017,24,1041,1156,600,29594,43679,255332,"24,155,022",9,521,898,0,0,152,0,0,0.003,0.3,5,0,0,0.138,669,15469,338570,123662,308631068
85,1103010209,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,372,1461,94,1555,1067,3822,23789,46703,723974,"34,306,370",14,1493,4480,1059,0,175,178,28,0.013,0.5,3,22144,0,0.469,1430,23370,729426,149401,372073263
86,1103010206,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,292,440,0,440,453,126,10743,15914,372162,"42,482,096",14,1345,279,673,0,52,94,62,0.017,0.2,4,0,0,0.278,505,8055,533843,130737,291535798
87,1103010203,11030102,110301,1103,11,05EB,BEVERHILL CREEK,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,315,1311,22,1333,1114,3294,40038,62057,323759,"73,023,048",10,4688,3559,330,0,225,0,391,0.013,0.2,13,0,0,0.086,1002,34564,421137,91462,314687827
88,1104010402,11040104,110401,1104,11,05ED,FROG CREEK,NORTH SASKATCHEWAN,,Dry Mixedwood,3,Internal,328,908,0,908,3358,6609,3392,26020,56348,"5,654,029",5,646,901,54,646,911,0,0,0,0.2,4,1215475,4098,0.09,514,1274,7623,132636,328125912
89,1104010401,11040104,110401,1104,11,05ED,FROG CREEK,NORTH SASKATCHEWAN,,Dry Mixedwood,3,Internal,142,396,0,396,3078,87,595,8717,1777,"3,984,978",5,56,745,0,75,0,0,0,0,0.2,4,0,0,0.119,316,209,3166,72715,141913702
90,1104020401,11040204,110402,1104,11,05EE,LOWER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,174,1480,0,1480,1348,1852,14097,32985,739181,"35,649,480",24,1901,683,9,1303,614,0,0,0,0.4,6,77739,0,0.066,1210,10940,405856,108471,173611365
91,1104020407,11040204,110402,1104,11,05EE,LOWER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,3,Internal,154,1113,0,1113,880,345,10794,23790,802095,"60,147,830",23,416,10857,23,536,397,0,0,0.006,0.7,6,0,0,0.145,938,7024,711129,85564,154214254
92,1104020408,11040204,110402,1104,11,05EE,LOWER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,217,1340,24,1364,1170,2999,25135,45173,695185,"63,849,611",27,1792,4799,897,895,2815,0,99,0.009,0.3,6,0,0,0.124,900,7269,473861,91784,216701816
93,1104020405,11040204,110402,1104,11,05EE,LOWER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,169,1557,162,1718,1141,194,13444,35060,657221,"251,041,618",21,481,16680,449,708,332,0,253,0.03,0.5,6,0,0,0.092,1185,11477,452654,123119,169345548
94,1104020406,11040204,110402,1104,11,05EE,LOWER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,233,1121,0,1121,1140,199,8792,22970,645818,"258,268,659",21,596,4655,0,247,327,0,0,0,0.4,6,0,0,0.097,1188,2836,391330,101736,232922163
95,1104020404,11040204,110402,1104,11,05EE,LOWER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,296,1213,0,1213,1175,315,11749,27186,699651,"39,892,857",20,490,3569,70,534,2109,0,505,0.007,0.4,6,0,0,0.089,997,7687,559600,108064,296053513
96,1104020403,11040204,110402,1104,11,05EE,LOWER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,249,1764,20,1784,1555,1325,18936,41034,729748,"164,171,937",29,631,17206,362,482,1454,0,56,0.004,0.6,6,0,0,0.127,1348,10719,519385,94188,249214033
97,1104020402,11040204,110402,1104,11,05EE,LOWER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,289,1191,1,1192,763,938,18139,33638,796342,"40,788,616",29,3548,484,505,1821,723,0,40,0.035,0.4,6,0,0,0.163,1189,14351,704703,116110,288900987
98,1103010101,11030101,110301,1103,11,05EB,NORTH SASKATCHEWAN ABOVE BEAVERHILL,NORTH SASKATCHEWAN,,Central Parkland,1,Internal,258,6365,236,6601,1398,158768,194184,461925,186402,"33,697,561",15,6036,113,1576,0,1154,0,1016,0,0.9,954,0,0,0.1,5203,152036,209811,105311,257631728
99,1103010104,11030101,110301,1103,11,05EB,NORTH SASKATCHEWAN ABOVE BEAVERHILL,NORTH SASKATCHEWAN,,Dry Mixedwood,1,Internal,181,2474,116,2590,784,6247,149436,194296,486696,"30,019,006",8,19732,42,482,0,2512,0,264,0,0.9,76,0,0,0.158,1280,73027,573987,77883,180940728
100,1103010106,11030101,110301,1103,11,05EB,NORTH SASKATCHEWAN ABOVE BEAVERHILL,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,263,1798,64,1862,1058,18708,68718,116576,598665,"40,135,762",11,458,865,44,0,658,0,361,0,0.7,52,0,0,0.192,1293,42530,674749,91142,263489299
101,1103010107,11030101,110301,1103,11,05EB,NORTH SASKATCHEWAN ABOVE BEAVERHILL,NORTH SASKATCHEWAN,,Dry Mixedwood,1,Internal,195,1596,118,1713,2107,51687,25805,102621,520601,"29,365,967",11,14809,11964,532,0,1457,0,0,0,0.1,17,0,111710,0.065,1289,9767,352316,86346,195166225
102,1103010105,11030101,110301,1103,11,05EB,NORTH SASKATCHEWAN ABOVE BEAVERHILL,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,182,1723,429,2152,1466,84203,47679,164379,603545,"50,218,520",13,41996,72,8202,0,26326,0,106,0,0.3,120,0,0,0.19,1641,43665,681211,91140,181994308
103,1103010102,11030101,110301,1103,11,05EB,NORTH SASKATCHEWAN ABOVE BEAVERHILL,NORTH SASKATCHEWAN,,Central Parkland,1,Internal,247,5940,221,6161,876,63768,170204,337667,341090,"53,837,418",14,17430,0,3927,0,774,0,3599,0,0.3,1178,0,0,0.18,3631,110055,483808,88325,246839313
104,1103010103,11030101,110301,1103,11,05EB,NORTH SASKATCHEWAN ABOVE BEAVERHILL,NORTH SASKATCHEWAN,,Central Parkland,1,Internal,156,4709,178,4887,1043,91985,277828,442310,275242,"28,983,569",10,805,0,10177,0,282,0,2609,0,1.4,359,0,0,0.157,2935,181460,344200,64698,156265292
105,1104010113,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Dry Mixedwood,3,Internal,303,1001,0,1001,1006,111,15374,26771,586849,"30,496,332",19,1520,1486,0,1345,253,0,0,0,0.3,2,56664,0,0.088,917,15579,481497,113167,302500784
106,1104010106,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,226,1296,0,1296,1514,118,11332,27295,513364,"25,336,005",22,1288,595,0,8226,834,0,0,0,0.1,5,366768,0,0.076,894,13653,595212,95422,225900835
107,1104010104,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,209,1593,0,1593,1888,1195,18284,41381,406023,"12,445,127",13,1804,760,682,740,369,0,0,0,0.3,3,0,0,0.115,1501,17318,219242,71351,209396790
108,1104010105,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Central Parkland,3,Internal,192,1535,0,1535,2131,42,9093,29297,545939,"32,061,646",25,2051,1078,0,71218,144,0,0,0,0.5,4,141733,0,0.148,1749,5271,567863,88155,191937264
109,1104010103,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,304,1558,0,1558,5094,2297,11707,37835,317842,"23,625,364",15,11082,2026,382,6268,392,0,0,0,0.4,3,730547,0,0.127,890,5708,148258,85837,304364985
110,1104010102,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,135,1511,0,1511,1871,5361,30436,57387,561087,"72,756,396",28,6973,1532,2008,2888,494,0,0,0.007,0.5,5,123566,0,0.072,1143,34052,294387,80449,134839517
111,1104010101,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,296,1158,0,1158,1359,75,32573,45908,672335,"138,296,826",28,508,880,65,329,431,0,21,0.007,0.3,5,849593,0,0.093,1078,35717,493230,132587,295775957
112,1104010108,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,149,1166,0,1166,1548,88,20195,34218,533181,"22,288,164",18,4175,1737,0,325,307,0,0,0,0.4,5,185625,0,0.069,1130,14326,303638,68193,149401525
113,1104010107,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,170,1405,0,1405,1445,2175,9530,28336,624673,"38,321,741",19,882,844,0,307,264,0,0,0,0.4,3,0,0,0.101,1142,6544,437181,96719,169655366
114,1104010109,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,311,1023,0,1023,1213,40,14185,26249,472700,"19,888,311",17,1896,1502,0,8865,163,0,0,0,0.2,5,437522,0,0.046,955,17662,274193,106995,311204454
115,1104010111,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,305,805,0,805,1337,0,6491,16466,517571,"29,201,389",16,1267,1928,89,1051,121,0,0,0,0.2,3,76176,0,0.065,652,6288,403640,123004,305443539
116,1104010110,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,178,1151,0,1151,1039,198,33980,47577,620413,"24,559,487",18,643,2241,2453,111,162,0,0,0,0.2,5,0,0,0.084,1144,44453,588031,77591,178035282
117,1104010112,11040101,110401,1104,11,05ED,NORTH SASKATCHEWAN AND MANN LAKES,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,171,1118,0,1118,1011,181,15654,29177,756485,"35,839,606",18,3689,2092,0,209,315,0,282,0,0.2,2,0,0,0.061,845,12986,600614,82007,170935825
118,1102020101,11020201,110202,1102,11,05DF,NORTH SASKATCHEWAN BELOW STRAWBERRY,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,232,1464,44,1509,1798,981,30955,51763,721056,"48,455,741",25,1615,6786,1595,0,578,0,0,0,0.6,7,366837,0,0.179,1157,16581,678460,97705,232209753
119,1102020106,11020201,110202,1102,11,05DF,NORTH SASKATCHEWAN BELOW STRAWBERRY,NORTH SASKATCHEWAN,,Central Parkland,1,Internal,243,6771,135,6906,1365,134384,174742,420481,228003,"46,976,353",17,769,3470,3050,0,1445,0,969,0,0.3,956,0,0,0.07,3263,74832,378389,127905,243054935
120,1102020105,11020201,110202,1102,11,05DF,NORTH SASKATCHEWAN BELOW STRAWBERRY,NORTH SASKATCHEWAN,,Central Parkland,1,Internal,143,3013,0,3013,2579,12877,131790,192034,445966,"43,445,500",16,564,9817,0,0,221,0,837,0,0.4,410,0,0,0.114,2740,102486,337412,68329,142939656
121,1102020104,11020201,110202,1102,11,05DF,NORTH SASKATCHEWAN BELOW STRAWBERRY,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,284,1990,0,1990,1540,1785,91863,122866,583805,"37,885,249",23,3540,5050,9,0,786,170,0,0,0.2,8,0,0,0.087,1492,54025,496319,118717,283795869
122,1102020102,11020201,110202,1102,11,05DF,NORTH SASKATCHEWAN BELOW STRAWBERRY,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,288,1614,39,1653,2189,3487,35157,60096,711465,"50,064,381",20,2035,4611,653,0,656,0,24,0,0.3,7,261686,0,0.247,1333,28113,761564,116335,288424254
123,1102020103,11020201,110202,1102,11,05DF,NORTH SASKATCHEWAN BELOW STRAWBERRY,NORTH SASKATCHEWAN,,Central Parkland,3,Internal,145,1446,49,1495,1016,184,32167,49896,819158,"47,844,092",20,789,1480,0,0,989,0,0,0,0.3,6,0,0,0.274,1446,36161,824312,69222,145192818
124,1104010201,11040102,110401,1104,11,05ED,SADDLE LAKE,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,274,1039,0,1039,3437,686,14330,31317,373873,"13,001,949",14,1961,2603,246,282,757,0,0,0,0.2,1,1838824,0,0.261,635,7212,200200,102846,274324783
125,1104010205,11040102,110401,1104,11,05ED,SADDLE LAKE,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,206,1379,0,1379,1360,10355,41992,72021,481515,"28,026,956",19,478,3044,438,414,457,0,0,0,0.2,6,0,0,0.093,1332,41092,523982,86223,205774656
126,1104010204,11040102,110401,1104,11,05ED,SADDLE LAKE,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,282,1191,0,1191,1279,926,28299,44252,711545,"26,686,192",16,1546,3033,385,33,413,0,0,0,0.2,6,0,0,0.092,1125,26420,673585,105191,281956273
127,1104010203,11040102,110401,1104,11,05ED,SADDLE LAKE,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,183,1174,0,1175,1059,835,26495,42617,618867,"35,291,483",20,733,2325,42,578,1182,0,0,0,0.2,5,416172,0,0.088,764,18319,596426,87965,182913119
128,1104010202,11040102,110401,1104,11,05ED,SADDLE LAKE,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,302,1021,0,1021,1919,193,17907,30778,502692,"15,804,162",16,502,2093,0,157,136,0,0,0,0.2,2,417688,3402,0.136,697,7372,343940,130604,301677449
129,1104010303,11040103,110401,1104,11,05ED,SLAWA CREEK,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,244,1135,0,1135,1115,84,14631,28892,674441,"31,893,610",15,4111,1791,160,275,365,0,0,0,0.4,2,0,0,0.062,1112,10103,488127,88470,244428548
130,1104010302,11040103,110401,1104,11,05ED,SLAWA CREEK,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,182,1419,0,1419,1198,234,12729,29211,686819,"38,466,203",19,420,725,0,535,206,0,0,0.027,0.5,3,0,0,0.105,1097,10665,449926,79799,182400638
131,1104010304,11040103,110401,1104,11,05ED,SLAWA CREEK,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,215,1117,0,1117,991,432,12557,26411,654270,"34,381,470",17,424,1240,40,1194,355,0,158,0.005,0.4,2,137071,0,0.08,868,10746,404194,90195,214801565
132,1104010301,11040103,110401,1104,11,05ED,SLAWA CREEK,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,290,1140,0,1140,888,231,10295,23496,782515,"41,558,394",19,501,5838,0,531,184,0,0,0.014,0.3,4,0,0,0.094,980,6197,556581,118324,289580571
133,1102020201,11020202,110202,1102,11,05DF,STRAWBERRY CREEK,NORTH SASKATCHEWAN,,Central Mixedwood,2,Internal,247,1824,48,1873,3358,1654,17042,46502,615781,"34,950,759",24,1936,18483,472,0,1354,18,1096,0,0.9,5,667171,4170,0.133,1602,11430,465277,75734,247156978
134,1102020203,11020202,110202,1102,11,05DF,STRAWBERRY CREEK,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,168,1303,28,1331,857,1267,23202,39483,756551,"30,294,396",24,18868,2544,150,0,685,47,0,0,0.6,6,0,0,0.135,1037,19712,644892,70970,168028305
135,1102020202,11020202,110202,1102,11,05DF,STRAWBERRY CREEK,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,186,1521,49,1570,1532,1839,21476,44050,714926,"35,642,336",24,9052,6740,833,0,2326,0,35,0,0.8,6,128903,0,0.155,1078,10866,599590,78395,185931549
136,1102030101,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,170,1175,58,1233,2836,1032,20143,37391,423345,"37,363,875",14,7619,736,34,0,1087,0,0,0,0.4,8,1529150,0,0.127,664,8376,351455,71476,170304900
137,1102030113,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,206,1614,142,1756,772,2392,62516,87710,706120,"55,109,208",15,1380,1294,504,0,738,0,0,0.01,0.5,18,0,0,0.156,956,27833,643495,84359,206215111
138,1102030110,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,127,3912,169,4082,1332,29827,173496,270045,513505,"58,004,310",15,2067,1726,1345,0,903,0,1124,0,0.6,352,0,0,0.313,2135,98372,578836,64955,127134921
139,1102030112,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,155,1479,66,1545,1459,1044,45924,66444,810450,"57,997,619",15,797,4949,139,0,772,528,51,0,0.3,17,0,0,0.228,1214,25926,809744,67302,155401342
140,1102030111,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,267,1506,154,1660,900,4327,42704,67859,808649,"58,520,426",14,4092,1172,4042,0,1555,1220,1027,0,0.3,17,0,0,0.325,1186,30334,863061,99953,266808193
141,1102030109,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,180,1494,39,1534,746,1685,52742,73879,812618,"58,793,154",14,19387,1971,332,0,1967,0,0,0,0.5,17,0,0,0.456,1359,48991,811500,81674,179787837
142,1102030108,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,262,1322,75,1398,755,1169,29405,47292,722301,"57,616,914",14,17651,2314,460,0,5067,17,0,0,0.4,17,7012,26002,0.249,1060,21760,700571,124025,261607286
143,1102030107,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,161,1144,43,1187,775,286,24762,38451,726019,"54,017,552",15,1520,814,109,0,447,103,0,0,0.4,11,327604,0,0.243,801,12854,689059,67038,160797806
144,1102030105,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,296,1984,94,2078,1573,4447,74283,106717,454793,"28,336,570",17,9269,994,1261,0,2095,7,4,0,0.7,9,398122,0,0.231,1671,68104,444692,146837,296354252
145,1102030106,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,196,1238,0,1238,1122,575,31439,46333,620303,"26,648,032",17,3626,930,21,0,455,293,0,0,0.3,5,1473084,0,0.192,908,14268,581658,82421,195788056
146,1102030104,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,235,2472,43,2517,1579,1408,109971,144574,383015,"16,930,630",15,48440,713,0,0,393,55,323,0,0.6,7,596606,0,0.165,1290,28743,345677,87315,235086512
147,1102030103,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,260,1691,41,1735,1539,3090,52247,78799,329796,"18,895,165",17,22574,523,2848,0,1064,311,0,0,0.5,6,386282,0,0.267,1874,65775,457299,97840,259715068
148,1102030102,11020301,110203,1102,11,05EA,STURGEON RIVER,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,289,1265,27,1291,2314,754,31084,49349,242678,"18,895,154",17,1651,2479,678,0,331,13,51,0,0.4,6,2928782,0,0.221,1228,31765,248881,113735,289175106
149,1104020114,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,301,1105,0,1105,800,138,9657,21979,879598,"450,539,095",15,682,2466,0,192,189,2008,5,0.003,0.3,6,0,0,0.332,1002,7737,878049,104127,301466099
150,1104020107,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,269,1308,87,1395,920,4998,16243,38993,766119,"166,264,042",24,961,3304,72,83784,1035,0,6192,0.015,0.3,6,0,0,0.109,723,7593,539510,135340,268739239
151,1104020106,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,274,1119,10,1130,1077,492,10318,23710,739973,"48,217,021",22,757,5700,451,2574,230,0,0,0,0.4,5,0,0,0.112,683,4880,481643,112578,273509463
152,1104020105,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,299,1042,0,1042,694,0,9432,21767,669118,"41,229,280",19,1035,778,0,450,261,0,0,0,0.2,4,245584,0,0.041,1236,2744,411868,137628,298901987
153,1104020103,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,300,1189,0,1189,1450,2365,15061,32761,564046,"33,488,624",16,8993,2184,1015,598,1014,1167,0,0,0.2,2,245222,0,0.065,951,15992,429788,105225,300007118
154,1104020102,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Dry Mixedwood,2,Internal,294,1142,0,1142,847,123,13434,26983,695428,"39,507,061",18,1833,2381,31,1429,6007,287,855,0.003,0.2,2,110893,0,0.082,745,6468,553075,127405,293985161
155,1104020104,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,275,1177,33,1210,862,369,13857,28878,719513,"55,900,041",15,375,2979,0,106,242,0,702,0.011,0.3,3,6402,0,0.083,1067,8744,522456,129912,274955763
156,1104020108,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,189,1411,73,1484,906,5723,17087,41468,823126,"74,298,733",14,804,4737,10653,123,95,0,1742,0.016,0.6,4,0,0,0.378,1430,18360,772893,89160,189285888
157,1104020101,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,3,Internal,283,1343,34,1377,1207,182,18935,36200,794543,"54,923,010",31,1089,3063,256,156,1024,0,942,0.011,0.4,2,0,0,0.181,1264,12536,680647,114699,283223705
158,1104020112,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,167,1313,88,1401,934,1102,13616,31583,833473,"96,887,842",14,1385,1508,591,309,114,0,3266,0.03,0.4,3,0,0,0.317,1205,6463,795113,62391,166674368
159,1104020113,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,3,Internal,244,1183,48,1231,962,313,8672,24724,723528,"108,507,317",13,1553,2821,57,573,108,628,1394,0.061,0.5,2,0,0,0.453,1157,6809,642448,119919,244104303
160,1104020111,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,298,1068,0,1068,906,90,10941,23461,784675,"81,777,676",15,1255,2891,0,201,447,0,774,0.023,0.3,2,0,0,0.463,938,7368,715355,119589,297926846
161,1104020109,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,274,1174,0,1174,961,231,15331,28451,881889,"78,239,382",15,767,2674,43,920,431,84,336,0.007,0.4,4,0,0,0.332,1241,11467,870636,155820,274482785
162,1104020110,11040201,110402,1104,11,05EE,UPPER VERMILION RIVER,NORTH SASKATCHEWAN,,Central Parkland,2,Internal,261,1123,16,1140,736,29,9322,21951,825442,"84,964,884",15,4194,2217,14,956,1025,0,399,0.126,0.4,4,0,0,0.291,949,5784,767901,156841,260996911
163,1102010402,11020104,110201,1102,11,05DE,WABAMUN CREEK,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,227,1512,154,1669,1406,8545,24401,56151,139657,"14,342,485",13,132838,201,1018,0,1877,599,27895,0.004,0.4,8,295700,0,0.046,1870,60895,117679,99223,226811815
164,1102010403,11020104,110201,1102,11,05DE,WABAMUN CREEK,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,170,1703,94,1808,2529,1577,45085,71024,288899,"15,094,386",14,31065,1024,2174,0,1633,3,0,0,0.5,8,91319,38715,0.167,1106,14384,254248,96445,169818834
165,1102010401,11020104,110201,1102,11,05DE,WABAMUN CREEK,NORTH SASKATCHEWAN,,Central Mixedwood,1,Internal,107,1026,0,1026,2152,640,18200,31549,391133,"8,561,579",14,212052,1498,697,0,131,130,1845,0,0.6,8,1043276,0,0.171,1064,15867,297319,77348,107297358
166,1103020501,11030205,110302,1103,11,05EC,WHITE EARTH CREEK,NORTH SASKATCHEWAN,,Dry Mixedwood,3,Internal,263,561,0,561,4339,1006,3976,21086,200350,"16,496,701",6,10342,1350,17,1763,187,0,18,0.004,0.3,1,761115,0,0.245,517,2428,136121,97946,262869389
