OBJECTID,HUC_10,HUC_8,HUC_6,HUC_4,HUC_2,WSC_CODE,NAME,BASIN,,Natural Region,Cluster,Data_Source,Area_km2,RoadsDensity_m_km2,RailsDensity_m_km2,Trans_Density_m_km2,ServCorridor_Density_m_km2,Indust_density_m2_km2,Resid_density_m2_km2,Imperv_density_m2_km2,Agri_density_m2_km2, Fertil_Density_ha_km2 ,Cattle_Density_n_km2,Energy_Mining_density_m2_km2,Wells_density_m2_km2,Waste__density_m2_km2,SW_use_m3_km2,GW_use_m3_km2,Canal_density_m2_km2,Res_density_m2_km2,Dam_density_n_km2,StreamRoadCrossing_density_n_km2,Pop_Density_n_km2,Harvest_density_m2_km2,Wildfire_density_m2_km2,Riparian_density_km2_km2,RoadsRipDensity_m_km2,ResidRip_density_m2_km2,AgriRip_density_m2_km2,Shape_Length,Shape_Area
21,1101020205,11010202,110102,1101,11,05DC,NORTH RAM RIVER,NORTH SASKATCHEWAN,,Mixed Alpine,3,GOA,763,195,0,195,873,83,11,2877,0,0,0,359,25,0,0,6,0,0,0,0.2,1,5017610,452,0.122,326,89,0,176398,763016773
22,1101020207,11010202,110102,1101,11,05DC,FALL CREEK,NORTH SASKATCHEWAN,,Foothills,1,GOA,127,451,0,451,819,21,0,6074,0,0,0,657,0,0,0,0,0,0,0,0.4,1,19842397,456,0.095,319,0,0,59309,126540325
23,1101020206,11010202,110102,1101,11,05DC,LOWER RAM RIVER,NORTH SASKATCHEWAN,,Foothills,1,GOA,163,584,0,584,2502,754,0,11814,0,0,0,353,1145,0,0,1,0,0,0,0.3,1,33999932,677,0.135,441,0,0,75601,163333138
24,1101020204,11010202,110102,1101,11,05DC,MIDDLE RAM RIVER,NORTH SASKATCHEWAN,,Foothills,1,GOA,201,296,0,296,1407,181,0,4753,0,0,0,659,0,48,0,6,0,0,0,0.2,1,15819053,0,0.095,317,0,0,88587,201207063
25,1101020301,11010203,110102,1101,11,05DC,UPPER BAPTISTE RIVER,NORTH SASKATCHEWAN,,Foothills,1,GOA,448,363,0,363,2199,491,14,8160,17,0,0,316,849,34,0,742,0,0,0,0.1,1,18119385,71,0.15,190,0,58,123272,448035806
26,1101020302,11010203,110102,1101,11,05DC,CHAMBERS CREEK,NORTH SASKATCHEWAN,,Foothills,3,GOA,157,828,0,828,2944,3849,290,25460,925,0,0,1339,3038,0,0,8,0,0,0,0.2,1,26867974,1335,0.136,499,721,4821,71746,156904861
27,1101020304,11010203,110102,1101,11,05DC,BREWSTER CREEK,NORTH SASKATCHEWAN,,Foothills,1,GOA,168,427,0,427,2438,1307,50,10936,0,0,0,1956,2247,27,0,217,0,0,0,0.1,1,23627449,4265,0.151,184,0,0,89008,168312118
28,1101020303,11010203,110102,1101,11,05DC,LOWER BAPTISTE RIVER,NORTH SASKATCHEWAN,,Foothills,2,GOA,579,1009,0,1009,4473,3356,6155,33850,1878,"147,085",0,1168,10490,149,0,3498,0,0,0,0.1,1,21869278,314148,0.176,448,3047,2370,171507,579322377
29,1101030101,11010301,110103,1101,11,05DB,CLEARWATER RIVER - BANFF NATIONAL PARK,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,387,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.09,0,0,0,98783,387293570
30,1101030103,11010301,110103,1101,11,05DB,FORBIDDEN CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,2,GOA,131,8,0,8,189,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90813,0.085,0,0,0,68544,131217021
31,1101030104,11010301,110103,1101,11,05DB,TIMBER CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,3,GOA,71,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.12,0,0,0,43421,71407795
32,1101030105,11010301,110103,1101,11,05DB,WASHOUT CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,2,GOA,31,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.14,0,0,0,31869,31115554
33,1101030108,11010301,110103,1101,11,05DB,LIMESTONE CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,3,GOA,100,222,0,222,665,137,0,3299,0,0,0,158,77,0,0,0,0,0,0,0.2,1,0,0,0.134,151,0,0,53841,100140884
34,1101030109,11010301,110103,1101,11,05DB,SEVEN MILE CREEK,NORTH SASKATCHEWAN,,Foothills,1,GOA,71,778,0,778,1408,431,0,11892,0,0,0,372,0,0,0,0,0,0,0.042,0.5,1,22774053,2236,0.195,573,0,0,43573,70853173
35,1101030110,11010301,110103,1101,11,05DB,TAY RIVER,NORTH SASKATCHEWAN,,Foothills,1,GOA,175,887,0,887,2201,137,772,14306,2237,"262,848",0,725,750,0,0,13,0,0,0.029,0.4,1,36092861,4393,0.187,462,4127,11955,94031,174531607
36,1101030107,11010301,110103,1101,11,05DB,MIDDLE CLEARWATER RIVER,NORTH SASKATCHEWAN,,Foothills,1,GOA,480,397,0,397,1366,310,294,7545,1304,"213,192",0,1215,194,0,0,166,0,0,0.006,0.3,1,9511336,0,0.222,709,1261,5884,178863,479634170
37,1101030111,11010301,110103,1101,11,05DB,LOWER CLEARWATER RIVER,NORTH SASKATCHEWAN,,Foothills,2,GOA,431,1517,0,1517,3206,1532,18647,42337,329209,"31,093,041",20,2271,6871,17,0,1671,33,59,0.019,0.5,1,12298641,93931,0.261,1395,16781,243094,169838,431410552
38,1101030102,11010301,110103,1101,11,05DB,CLEARWATER RIVER ABOVE ELK CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,2,GOA,360,15,0,15,338,3,0,791,0,0,0,0,47,0,0,0,0,0,0,0,1,0,19459,0.139,18,0,0,156511,360016655
39,1101030106,11010301,110103,1101,11,05DB,ELK CREEK,NORTH SASKATCHEWAN,,Foothills,1,GOA,94,366,0,366,1293,684,65,7475,0,0,0,534,550,0,0,0,0,0,0,0.2,1,7082858,0,0.166,597,378,0,59176,94442945
40,1101030202,11010302,110103,1101,11,05DB,LICK CREEK,NORTH SASKATCHEWAN,,Foothills,1,GOA,103,819,0,819,2931,133,0,10073,0,"24,924",0,2192,0,0,0,0,0,0,0,0.4,1,44253729,1014,0.113,602,0,0,55751,103333512
